terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
linux_long_horizon_001,bin_0001,1,500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
linux_long_horizon_001,bin_0002,501,1000,55,49,2,4,0,0,6,0.1091,persisted,localized_deformation
linux_long_horizon_001,bin_0003,1001,1500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0004,1501,2000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0005,2001,2500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0006,2501,3000,53,50,2,1,0,0,3,0.0566,persisted,localized_deformation
linux_long_horizon_001,bin_0007,3001,3500,53,50,1,2,0,0,3,0.0566,persisted,localized_deformation
linux_long_horizon_001,bin_0008,3501,4000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0009,4001,4500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0010,4501,5000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0011,5001,5500,55,46,5,4,0,0,9,0.1636,persisted,localized_deformation
linux_long_horizon_001,bin_0012,5501,6000,53,44,4,5,0,0,9,0.1698,persisted,localized_deformation
linux_long_horizon_001,bin_0013,6001,6500,53,52,1,0,0,0,1,0.0189,persisted,distributed_low
linux_long_horizon_001,bin_0014,6501,7000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0015,7001,7500,53,46,5,2,0,0,7,0.1321,persisted,localized_deformation
linux_long_horizon_001,bin_0016,7501,8000,53,49,2,2,0,0,4,0.0755,persisted,localized_deformation
linux_long_horizon_001,bin_0017,8001,8500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0018,8501,9000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0019,9001,9500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0020,9501,10000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0021,10001,10500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0022,10501,11000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0023,11001,11500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0024,11501,12000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0025,12001,12500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0026,12501,13000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0027,13001,13500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0028,13501,14000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0029,14001,14500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0030,14501,15000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0031,15001,15500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0032,15501,16000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0033,16001,16500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0034,16501,17000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0035,17001,17500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0036,17501,18000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0037,18001,18500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0038,18501,19000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0039,19001,19500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0040,19501,20000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0041,20001,20500,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0042,20501,21000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0043,21001,21500,53,45,3,5,0,0,8,0.1509,persisted,localized_deformation
linux_long_horizon_001,bin_0044,21501,22000,55,52,1,2,0,0,3,0.0545,persisted,localized_deformation
linux_long_horizon_001,bin_0045,22001,22500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0046,22501,23000,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0047,23001,23500,55,53,2,0,0,0,2,0.0364,persisted,distributed_low
linux_long_horizon_001,bin_0048,23501,24000,53,51,1,1,0,0,2,0.0377,persisted,distributed_low
linux_long_horizon_001,bin_0049,24001,24500,53,46,4,3,0,0,7,0.1321,persisted,localized_deformation
linux_long_horizon_001,bin_0050,24501,25000,55,55,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0051,25001,25500,53,53,0,0,0,0,0,0.0000,persisted,quiet
linux_long_horizon_001,bin_0052,25501,25567,12,12,0,0,0,0,0,0.0000,persisted,quiet
