terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
electricity_hourly_zenodo_001,bin_0001,1,500,69,69,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0002,501,1000,75,75,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0003,1001,1500,71,71,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0004,1501,2000,72,72,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0005,2001,2500,74,74,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0006,2501,3000,71,71,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0007,3001,3500,70,70,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0008,3501,4000,73,73,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0009,4001,4500,72,72,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0010,4501,5000,70,70,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0011,5001,5500,74,74,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0012,5501,6000,71,71,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0013,6001,6500,72,72,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0014,6501,7000,74,74,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0015,7001,7500,69,69,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0016,7501,8000,71,71,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0017,8001,8500,74,74,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0018,8501,9000,72,72,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0019,9001,9500,71,71,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0020,9501,10000,74,74,0,0,0,0,0,0.0000,persisted,quiet
electricity_hourly_zenodo_001,bin_0021,10001,10500,69,69,0,0,0,0,0,0.0000,persisted,quiet
